stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Goblet_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0
21Day,0,0.37,26.27,0.74,0,0,0,0,0,0.37,34.78,0,1.48,0.37,0,0,0,0,0.37,0,0,0.37,0
3Month,0,0,7.07,0,1.14,0.52,0.83,0,2.81,0.21,0.73,0.31,0.21,0,0.1,0,0.1,0,0,0.1,0,0,0.52
22Month,0.14,0.55,0.68,0,0.27,0.96,0.41,0.14,24.46,0,0.14,0.14,0,0,0,0.14,0,0.14,0,0.14,6.7,0,0.27
