stage,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neurosecretory_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.41,0,0,0,0,0.28,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.22,0,0.37,0.37,0,0.37,0.37,0,0,0,0
3Month,0.1,0.83,0.1,0.31,0.94,0.1,0.94,0.1,0.1,0.1,0.83,0.1,0,0.1,0,0.1,0,0.21,0.73,0,0,0.1,0.1,1.87,0.31
22Month,0.14,0.27,0,0.41,2.87,0.96,0.96,0,0.14,0.68,0.14,0,0.27,0,0,0,0.14,0,0,0,0,0,0,0,0
