stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.41,0,0,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,0.28,0,0,0,0,0.56,0.28,0,0.56,0,0,0,0,0,0
21Day,1.11,0,0,5.55,0,0.74,0,0.74,0.37,0,0,0,0.37,0,0,0.37,0,3.33,0,1.11,0,0,2.96,0,2.59,0.74,0,0.74,0.37,0.37,0,0,0,0.37
3Month,0,1.04,0.1,36.93,0,0,0.1,0,0.52,1.77,0.1,0,7.59,1.87,0.1,3.74,1.87,3.12,1.46,1.25,0.31,0.42,0.83,0.31,2.29,0,0.31,0.1,1.04,7.8,0.1,0.42,3.22,1.77
22Month,0.14,0.82,0,20.91,0.14,0,0.27,0,0,2.05,0.68,0,18.17,0.14,0.96,1.5,0.14,0.14,0.82,1.64,0,0.82,0.41,0,0.55,0.14,0.27,0.14,0,5.88,0.14,0,0,0.14
