stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0.28,0,0,0.28,0,1.41,0,0,0,0,1.41,1.41,0,0,1.97,0,0,0.56,0.28,0,0,0
21Day,1.11,0,1.48,0.37,0,0,0,0,0,0,0.37,0,0,0,0,6.29,0,0,0.74,0,0.74,1.85,1.11,0,1.11,0.37,0,0,0,0.37,0,0
3Month,0.1,0.52,0.62,0,0.21,0.21,0.31,0,0.83,0.31,0.1,0.1,0.1,1.56,0.31,7.7,1.25,0,0.52,0.1,0.21,0,0.52,0.21,0.1,0.1,1.25,0,0.1,0.83,0.21,0.1
22Month,0,0.27,0.27,0,0,0,0.27,0.27,2.19,0,0,0.41,0,0,0.55,5.88,0.27,0.14,0.14,0,0,0,0,0,0,0,0.41,0,0,0.14,0,0.14
