stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,T_cell
24hpf,23,9,0,57,1,2,0,218,0,0,2,14,48,43,96,1,1,48,731,1,15,0,0,1,3,0
72hpf,0,0.28,0,20.01,0,0.28,0.28,0.56,0,0,0,0.56,1.69,0.28,2.25,0,0,9.58,4.23,0,1.97,0,0,0.85,0.28,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37,0,0,0.37,0,0,0,0.37,0,0,0,0
3Month,0,0,0.21,0.1,0,0,0.31,0,0.1,0.21,0,0,0,0,1.98,0,0.31,0,0,0,0,0.1,0.42,0,0,0.21
