stage,Endothelial_cell,Enterocyte,Epithelial_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Oligodendrocyte,Pancreatic_cell,Primordial_germ_cell,Spermatocyte,T_cell
72hpf,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0,0
3Month,0,0.1,0.52,0.21,0.1,1.77,0.52,0.31,0.94,0.42,0,0.1,0.1,0,0.1,0.1,15.08,2.29,0.94
22Month,0.14,0,0.41,0.27,0.14,1.5,0.27,0,0.14,0.14,0.14,0,0,0,0,0,4.37,0,0.14
