stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,0,0.56,0,0,0,0,0,0,0,0,0,0.56,1.13,0.56,1.13,0,0,0,3.1,2.25,0,0,0,1.13,0,0,0,0.28,0,0.28,0,0,0
21Day,0.37,0,0,5.55,1.11,0,0.37,0,0.37,0,0,0,1.11,0,0,3.7,1.48,3.7,0,1.11,0,4.44,1.48,0,0,0,2.22,0.37,0,0,0.37,0.74,0,0,0,0
3Month,0.1,0.73,0.31,11.23,0,0.1,0.1,3.54,4.58,0,6.45,2.81,0.52,2.39,1.14,4.58,3.54,3.74,0.94,2.91,0.31,0.21,0,0.52,0.1,0,0.52,0.42,0.1,3.95,0.31,0,0,1.35,0.94,3.85
22Month,0.14,1.23,0.27,3.55,0,0,0,0.96,3.01,1.37,30.2,0.55,0.55,1.23,0,0.55,1.37,2.19,0.14,0.41,0,0.14,0.14,0.41,0.14,0.14,0.14,0,0,0.96,0.14,0,0,0.27,0,0.68
