stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,2,0,1,0,0,0,1,0,0,1,0,0,6,1,2,56,1,0,0,0
72hpf,0,0.28,0,0,0,0,0,0,0.28,0,0.28,0,0.85,0,1.13,4.23,0.28,0.28,0.28,0
21Day,0,0.37,0,0.37,0.37,0,0,0,0,0,0,0,1.11,0,0.74,1.85,0,0,0,0
3Month,0,0,0,0,0,0,0,0.1,0,0,0,0,0.1,0,0,0,0,0.42,0,0.1
22Month,0,0,0,0,0,0.27,0,0,0.14,0,0,0.14,0,0,0.14,0,0,0.27,0,0
