stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,5,0,0,0,0,0,0,0,0,0,2,10,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0
72hpf,0,0.28,0,0.28,0,0,0,0,0,0,0,0,0,3.95,0,0.28,0,0,0,0,6.76,1.69,0,0,0,0,0.85,5.92,3.66,8.17,0,0
21Day,0.37,0.37,0.37,0,0,0,0,0,0,0,0.37,0,0.37,0.74,0.37,1.85,0,0,0,0,7.4,2.22,0.37,1.11,0.74,0.74,0.37,14.43,19.24,3.7,0,0
3Month,0,0.1,1.98,0,0,0.31,0.42,0,2.5,0.42,0,0.42,0.1,0.1,0.62,0.42,0.1,0,0.1,1.35,0,0,0.1,0,0.1,1.87,0.52,0,0,0.42,1.66,0.21
22Month,0,0.41,1.78,0,0.14,0.27,0.68,0.27,9.02,0.55,0,0.55,0,0,0.82,0.96,0,0.27,0.14,0,0.68,0,0.27,0,0.14,1.5,1.23,8.2,0.14,0.27,0,0.41
