stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Intestinal_bulb_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Radial_glia,Spermatocyte
24hpf,0,0,0,0,0,0,2,0,0,0
72hpf,0.85,0,0.28,0,0,0.28,0,0,0.28,0
21Day,0.74,0.37,0,0,0,0,0,0,0.37,0
3Month,0,0,0,0,0.1,0,0,0.1,0,0.21
22Month,0,0,0,0.27,0,0,0,0.55,0,0
