stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
72hpf,0.28,0,0,0.28,0,0,0,0,0,0,0,0,0,0,30.44,0.28,0.28,0,0,0,0,0,0
21Day,0.37,0.74,0.37,1.11,0.37,0,0.37,0,0,0,0.37,0.37,0.37,0.74,42.55,0.37,0,0.74,0,0.74,0.37,0,1.11
3Month,0,0.1,0,0,0,0,0,0.52,0.1,0.21,0.31,0.21,0.1,0,0,0,0,0,0.52,0,0,0.73,0
22Month,0.27,0,0,0,0,0.14,0,2.32,0,0,0,0.14,0.14,0,0.14,0,0,0,0,0,0,0,0
