stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0,0,0,0,0,0,0,0,0,0,1.69,0.28,0,0,0,0.28
21Day,0.37,0,0,0.37,0.37,0,0,0,0,0,0,0,0.37,0,1.11,0,0,0,0.37,0.74
3Month,0,0.1,0.42,0,0,0.1,0.21,0.1,0.21,0.21,0,0,0.1,0.1,0,0,0.1,0.1,0,0
22Month,0,0,0.14,0,0,0,0,0.41,0,0,0,0.14,0,0,0.14,0,0,0,0.14,3.01
