stage,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Muscle_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
72hpf,0,0,0,0,0,0.56,0,0,0.28,0,0
3Month,0.73,0.1,0.1,0.31,0.1,0,0.21,0.1,0,0.1,0.1
