stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,1,1,1,0,0,0,0,0,0,0,1,1,0,2,0,3,58,0,0,2,0,0,0,0,0,0
72hpf,1.13,0,5.07,0.28,0,0,0,0,0,0,0.85,2.25,0,2.25,0,9.58,23.39,0,0.28,3.1,0,0,34.67,0.28,0,0
21Day,0,1.85,0,0.37,0,0,0,0,0,0,0,0,0,1.85,0,0.74,2.96,0,0.37,1.48,0,0,0.74,0,0,0
3Month,0,1.04,0,0,0.1,0.1,0.21,1.35,0,0.1,0.21,0.42,0.1,0.31,0.21,0.1,0,0.1,0,0,0.1,1.14,0,0,0.21,1.35
22Month,0,1.78,0,0,0,0,0.14,1.23,0.27,0.41,0,0.27,0.14,0.14,0,0.14,0,0.14,0,0,0,1.91,0.27,0,0,0
