stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte,T_cell
21Day,0,0,0.74,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0,0,0,0
3Month,0.21,0.21,2.39,0.1,0.1,0.21,0,1.25,0.21,0.73,0,11.86,0.1,0.52,0.1,0,0.1,0.21,0.1,0.1,0.21,0.1,0.73,0.42
22Month,0,0,0.14,0,0,0.14,0.14,1.23,0,0.14,0.14,0.55,0.14,0.14,0,0.14,0.14,0,0,0,0,0,0,0
