stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,0.28,0.28,0,0,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0,0,0.28,0,0,0,0,0.28,0,0,0,0,0,0,0,0
21Day,0.37,1.11,6.66,0.37,0,0,0,0.37,0,0.37,0,5.55,0.37,0.74,3.33,2.59,2.22,0,0,0,0,0.37,0.37,0,0,0,0,0.37,0.37,0,0,0,0,0,3.7
3Month,1.14,1.98,28.81,0,0.62,0.62,6.45,6.03,0.1,6.24,3.54,3.22,35.89,1.98,4.58,11.44,2.29,0.31,0,0.73,1.04,0.31,0,0.83,0.1,0,0.21,0.52,1.66,0.21,0,0,1.87,0.21,23.2
22Month,2.05,2.46,16.94,0,0.41,0.68,4.51,28.56,0.68,91.15,6.42,8.34,52.47,1.37,2.19,20.91,4.1,0.14,1.91,1.78,0,0.27,0,1.09,0.14,0.55,0,0,0.68,0.14,0.27,0.14,0.55,0,6.42
