stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,6,1,1,0,0,0,0,0,0,0,0,0,3,0,0,8,0,0,0,1,1,37,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0.28,0,0.28,0.85,0.56,0,0,0,0,0,0,0,0,0,0.56,1.97,0,4.79,0,0,0,0,65.67,7.61,0.28,0,0,1.97,0,0,2.54,0,0.56,0,0,0
21Day,0.37,0,0,0.74,2.22,0.37,0,0.37,0,0,0.37,0,0,0,0,0,0,0,7.03,0,0,1.11,0,13.32,1.48,0.37,0,0,2.96,0.37,0.37,0.74,1.85,0.37,0,0,0.74
3Month,0.94,1.04,0,13.31,0.83,0,0.1,0.21,0.1,0,0.94,0.21,3.85,1.04,0.83,4.99,1.66,2.08,7.39,1.04,0,0.52,2.5,2.81,0.31,1.66,0.62,0,0.62,0.42,14.46,0.1,0,0.52,0.62,13.52,0.31
22Month,0,0.27,0.14,4.1,0.27,0,0.14,0,0,0.14,0.27,0,4.65,0.68,0.68,0.68,0,0.68,1.5,0.14,0.27,0,0,0.55,0.14,0.82,0.68,0.14,0,0,2.46,0.41,0,0,0.14,0,0
