stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0.28,0.85,0.28,0,0,0,0,0,0,0,0.28,0,3.66,0,0,0,16.35,15.5,0,0,7.05,0,0,0.28,0.28,0.28,0,0
21Day,0,0.37,0,8.14,0.74,0.37,0,0,0.37,0,0,0,0,1.85,0.37,10.36,0,1.85,0,17.76,22.2,0,0.37,1.85,2.22,0,0,0.37,0.37,0,0
3Month,0.1,0.21,0.21,6.66,0.21,0,0,0.21,0.31,0,1.14,0.73,0.21,1.04,0.42,3.33,0,0.31,0.31,0.52,0.1,0,0.1,0,0.1,0.94,0.42,0,0.94,0.42,0.31
22Month,0.14,0.14,0,1.23,0,0,0.14,0.27,0.41,0.27,6.42,0.41,0.96,0,0.82,1.09,0.27,0.14,0,0.68,0,0.14,0.27,0,0,2.19,0.82,0,0.41,0,0.14
