stage,Epithelial_cell,Goblet_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0
3Month,0.31,0.1,0.73,0.21,0.21,0.1,0.21,0.21,0.1,0.21,0,0.31,6.97,0.1,12.07
22Month,0,0,0,0,0,0,0,0,0,0,0,0,0.41,0,0
