stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Fibroblast,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
72hpf,0,0,0,0.28,0,0,0,0,0,0,0,0,0.85,0,0,0,0,0.28,0.56,0,0,0,0,0,0,0,0,0
21Day,0.37,0.37,11.47,0,0,0,0,0,0,0,0,0,52.17,0.37,0.37,0,0,3.33,1.48,0,0,0.37,0.37,0,0.74,0,0,0
3Month,0,0,61.58,0,0.1,0.1,0.62,0.42,3.12,0.73,1.14,0.1,1.66,0.62,0.73,0.1,0.21,0,0,0.1,1.66,0,0,6.45,0,0.31,0.73,0.83
22Month,0,0,3.42,0,0,0,0,0.27,0.68,0,0.14,0,0,0.27,0,0,0,0.14,0,0,0.14,0,0,0.82,0,0,0,0
