stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Immune_cell,Macrophage,Mt_rich_cell,Neural_progenitor_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,1,0,0
21Day,0,0.74,0,0,0.74,0,0,0,0.37
3Month,0,0,0,0.1,0.62,0,0,0.1,0.1
22Month,0.14,0.27,1.91,0,0,0.14,0,0,0
