stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0,1.69,0.85,0,0,0,0,0,0,0,0,0,0.56,3.66,0,0.56,0,0,0.28,0.85,0.85,0,0,0.28,0.28,0.28,0.56,0,0.28,0,0
21Day,0.37,0,0.37,22.2,1.11,0,0.37,0,0,0,0,0,0.74,0,1.85,11.1,0,2.59,0,0.37,0,1.11,1.11,0,0,0.74,0.37,0.37,1.48,0.74,0.74,0,0
3Month,0,0.21,0,6.03,0,0.21,0,0.21,0.1,0,1.98,0.21,0,0.52,0.1,3.54,0.1,1.35,0,0.21,0.31,0.21,0,0.21,0,0,0.1,0.42,0,0,0.1,0.31,0.1
22Month,0,0.14,0,1.78,0,0,0,0.14,0,0.14,2.46,0.14,0,0.55,0,0.55,0.14,0.82,0.41,0,0,0,0,0,0.14,0,0,0,0.14,0,0,0.14,0
