stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,Radial_glia
24hpf,0,0,0,0,0,0,0,0,2,0,0,0
72hpf,0.28,0,3.95,0,0,0.85,0,1.97,0.28,0.28,0,0.28
21Day,0,0.37,5.55,0,0,0.37,0,0.37,0,0,0,0
3Month,0,0.21,0.21,0.1,0.1,0,0,0,0,0,0,0
22Month,0,0,0.14,0.14,0,0,0.14,0,0,0,0.14,0
