stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,9,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.85,0,0,0,0,0,0,0,0,0.56,0,0.56,0,0,3.95,1.13,0.28,0,1.13,0,0,0.56,0,0
21Day,0,0.37,1.11,0,0,0,0,0,0.37,0,0,0,0.37,0,0,0,3.33,1.48,0,0,0,0.37,0,0.37,0,0
3Month,0,0.31,1.14,0.1,0,0,0,0.31,0.21,0.21,0.1,0.73,0.31,0.52,0.1,0,0,0.1,0.52,0.31,0,0,0.52,0,0.21,0.31
22Month,0,0,1.09,0.14,0.14,0.27,0,3.14,0.27,0.68,0,0.14,0.68,0.41,0,0.14,0.14,0.14,0.96,0,0,0,2.6,0,0,0
