stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
72hpf,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.13,0,0,0.28,0,0,0,0,0,0
21Day,7.03,0,0.37,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0,0,0,0,0,0,0,0,0
3Month,1.04,0.1,0.1,1.25,0,0,0.42,0.1,0.73,0.21,7.28,0.21,0.1,0.42,6.55,0,0,0.1,0.1,0.1,0.21,0.52,0,0.42,0.21
22Month,0.82,0.14,0,0.41,0.14,0.14,0.14,0.14,1.91,0,19.68,0,0,0.14,1.37,0,0,0.14,0.27,0,0,0.14,0.14,0,0.14
