stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,2,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,1,103,0,0,0,1,0,0,0,0,0,0
72hpf,0.28,0,0,0.85,0,0.28,0,0,0,0,0,0,0,0,0,0.56,0.28,0.28,1.41,0,0,0,2.25,5.92,0.28,0,0,0.85,0.28,0,0.56,0,0,0
21Day,0,0,0,2.59,0,0.74,0,0.74,0.37,0,0,0,0,0.74,0,0,1.11,0.74,2.96,0,0,0,0.74,2.96,0,0,0,2.22,0.74,0.74,0.37,0,0.37,0.37
3Month,0.1,0.52,0.21,9.15,0,0,0.1,0,5.72,1.46,0,8.11,2.29,0.31,8.11,1.14,1.98,1.46,2.39,0.1,1.77,0.73,0.42,0.1,1.46,0.31,0,0,1.77,200.44,0.1,1.04,26.21,1.14
22Month,0,0.14,0.27,1.91,0.14,0,0.27,0,2.19,1.5,0.14,3.01,0.14,0,16.53,0,0.14,0.41,0.68,0.41,0.41,0,0.14,0.14,0.55,0.14,0.82,0.14,0.27,34.3,0.27,0,0.14,0
