stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,1,1,0,6,2,26,0,0,0,0,0,0
72hpf,0.28,0,0.56,0,0,0,0,0,0,0.28,0,0,0.28,1.13,2.82,1.13,0,0,0,0,0
21Day,1.11,0.37,0.74,1.11,1.11,0,0,0.37,0,0,0,0,0.74,1.11,4.07,0.37,0,0,0.37,0,0.37
3Month,0,0,0,0,0,0.1,0.62,0,0,0,0.1,0.1,0,0,0,0,0.1,0.62,0,0.21,0
22Month,0,0,0,0,0,0,0.14,0,0.27,0,0,0,0,0,0,0,0,0.55,0,0,0
