stage,Epithelial_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neurosecretory_cell,Primordial_germ_cell,Spermatocyte,T_cell
21Day,1.85,0,0,0,1.48,0,0,0,0,0,0,0,0,0,0,0
3Month,2.39,0.42,0.1,0.21,0.52,0.21,0.1,0.1,0,0.21,0.1,0.1,0,0,0.1,0.1
22Month,1.23,0.68,0,0.27,0,0,0.14,0.14,0.14,0,0,0.14,0.14,0.27,0,0
