stage,Cardiomyocyte,Epithelial_cell,Erythrocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Neural_cell,Neural_progenitor_cell,Osteoblast,T_cell
24hpf,0,0,0,0,0,0,0,0,0,2,0,0
72hpf,0.28,0,0,0,0,0.28,0.28,0.28,0.56,0,0,0
21Day,0,0,0.37,0,0.37,0,0,0,0,0,0.37,0.37
3Month,0,0.42,0,0.1,0,0,0,0,0,0,0,0
