stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,2,1,9,0,0,0,0,0,0,6,0,7,2,51,0,0,0
72hpf,0.56,0,0.28,1.41,0,0,0,0,0,0.28,0,0.56,1.41,3.66,0,0,0
21Day,0.37,0,0.74,0.74,0.74,0,0.37,0,0,0,0.37,0.37,0.37,1.11,0,0.37,0
3Month,0,0,0.1,0,0,0,0.1,0,0.1,0,0,0,0,0,0.31,0.1,0.42
22Month,0,0.14,0.14,0,0,0.14,0.68,0.14,0,0,0,0,0,0,0,0,0
