stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Goblet_cell,Granulocyte,Hepatocyte,Ionocyte,Keratinocyte,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,2,0,0,0,0,0,3,1,0,0,1,1,0,0,0,0,0
72hpf,0,0.56,0.28,0,0,0,0,2.82,1.13,0,0,1.13,0.85,0,0,0,0.28,0
21Day,0.74,4.44,0,0,0.37,0,0.37,3.33,0.74,0,0.37,1.48,1.11,0,0.74,0,0,0.37
3Month,0,0.62,0,0.21,0,0,0,0.21,0.1,0.1,0,0,0,0.1,0,0.21,0,0
22Month,0,0,0,0,0,0.41,0,0.14,0.14,0,0,0,0,0,0,0,0,0
