stage,Epithelial_cell,Hepatocyte,Immune_cell,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Oligodendrocyte,Radial_glia,T_cell
72hpf,0,0,0,0,0,0,3.95,0.28,0,0.28,0
21Day,0,0,0,0,0.37,0,2.22,0,0.74,0,0.37
3Month,0.21,0.21,0.1,0,0.21,0,0,0,0,0,0
22Month,0,1.23,0,0.14,0,0.14,0,0,0,0,0.14
