stage,Hepatocyte,Keratinocyte,Neural_cell,Neural_progenitor_cell,Retinal_cell,Retinal_cone_cell
72hpf,0,0,0.28,0,0.28,0.85
21Day,0,0.37,0,0.37,0.74,1.11
3Month,1.04,0,0,0,0,0
22Month,2.87,0,0,0,0,0
