stage,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,2,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
72hpf,0,0,1.41,0.56,0,0,0,0,0,0,0,0.85,43.97,0,0,0.28,1.69,0.56,0.28,0,0.56,0.28,0,0
21Day,0,0,9.99,0,0,0,0,0,0,0,0.74,2.22,18.5,0.37,0.37,0,0.37,0,0,0,0,0.37,0,0.37
3Month,0.21,0.42,33.91,0,0.1,0.21,0.31,0,0.73,0.52,0.52,4.47,2.6,1.35,0.52,0.1,1.46,0.1,0.1,0.21,0,0,0.1,0.42
22Month,0,0,2.6,0,0,0,0.27,0,1.64,0,0.14,0.14,0.27,0.41,0,0,0.68,0,0,0,0,0.14,0,0
