stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0,0,0,2,23,0,0,0,0,0,0,0,0,0,0
72hpf,2.54,0.56,0,1.13,0.28,0,0,0,0,0,0,0,0,0,0,0,0.85,0.28,2.54,0,0,0.56,35.51,13.25,3.1,0,0,1.13,0,0,0.56,0,0,0
21Day,0.74,0.37,0,2.22,0.37,0.37,0,0.74,0,0.37,0,0,0,0.74,0,1.11,0.37,0.74,8.14,0,0,0.37,11.1,7.03,2.22,0.37,0,0.37,0.37,1.11,0,0,0,1.48
3Month,0,0.1,0,1.87,0,0,0,0,0.31,0.52,0,1.56,0.31,0.1,0.52,0.31,0.83,0.73,0.83,0.21,0,0.1,0.21,0.21,0,0.1,2.7,0.1,0,0,0,0.21,0.42,0.83
22Month,0,0.14,0.14,0.68,0,0,0.14,0.14,0,0.41,0.41,5.33,0.27,0.55,0.41,0,0.14,0.55,0.68,0,0.14,0,0,0,0,0,0.68,0,0.14,0,0,0,0,0.27
