stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,1,1,13,0,0,0,2,64,2,0,0,0,0,1,0,0,0
72hpf,1.69,0.28,0,0.56,0.28,0.56,0,0,0,0,0,0,0,0.28,0,0.85,1.13,0,3.95,0,0.28,0,9.58,14.37,1.97,0.28,0,0.85,0.28,0.28,0,0,0
21Day,1.48,0,0,1.85,0,0,0,0.37,0,0,0,0,0,0.37,0,0,0.74,0,3.33,0,0,0.37,1.11,3.7,0.37,0.37,0,0.37,0,0.37,0,0,0
3Month,0.1,0.1,0.1,1.04,0,0,0,0,0.31,0.1,0,0.31,0.21,0,0.1,0.21,0.21,0.21,0.21,0.21,0,0,0,0,0,0,6.55,0,0,0,0.1,0.62,0
22Month,0,0.14,0.14,0.55,0,0,0.14,0.14,0.14,0,0.14,1.64,0.14,0.14,0.41,0,0,0.27,0.55,0,0.14,0,0,0,0,0,0.68,0,0.14,0,0,0,0.14
