stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_progenitor_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
72hpf,0.28,0,0.28,0.28,0.28,0,0,0,0,0.28,1.97,0,0.56,12.97,5.92,0,0.28,1.13,0.28,0.28,0.28,0.28,0.28
21Day,0.37,0,1.11,0,1.11,0.37,0.37,0,1.11,0,0.37,0.37,0.74,2.96,1.85,0.37,0,0.74,0.37,0,0,0,0
3Month,0,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22Month,0,0,0,0,0,0,0,0.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
