stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Spermatocyte,T_cell
24hpf,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,6,18,0,0,0,0,0,0,0,0
72hpf,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0.56,1.13,0,1.13,0,0,0,55.24,7.33,0,0,0.85,0,0,1.13,0,0
21Day,0.37,0,0,0.74,0,1.11,0,0,0,0.37,0,0,0,0,0,0,0,0,0,14.8,1.11,0,1.48,0,0.37,0,0.37,0,0
3Month,0,0,0,1.04,0,0,0.1,0.1,0.21,1.14,0.31,1.56,0,0.31,0.1,0.31,0.1,0,0.21,0.42,0.1,0.42,1.14,0,0.21,0.42,0,0.1,0.1
22Month,0,0.14,0.27,0.82,0,0,0,0,0.41,4.37,0.27,1.78,0,0,0.41,0.41,0,0.14,0.27,0.55,0,0.14,0.82,0,0,0.55,0,0,0
