stage,Endothelial_cell,Epithelial_cell,Hepatocyte,Keratinocyte,Neural_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,1,0,0,0,0,0
72hpf,0,0,0,0.28,0.85,0.28,0,0,0,0
21Day,0,0.37,0,0,0,0,0.37,0.37,0,0
3Month,0.1,0,0.21,0,0,0,0,0,0.1,0.1
