stage,Epithelial_cell,Hepatocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,T_cell
24hpf,0,0,0,0,1,0
72hpf,0,0,0,0.28,0,0
21Day,0,0,0.37,1.11,0,0.37
22Month,0.14,0.27,0,0,0,0
