stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,50,0,0,0,0,0,0,0,0,0,0,0,18,0,2,0,0,0,0,0,11,0,0,0,1,0,0,0,0,0,0,0,0
72hpf,2.25,13.53,0,27.62,0,0.85,0,0,0,0,0,0,0,0,0.56,28.47,0.28,42,0,0,7.05,0,7.89,6.2,0.28,0,0,1.69,0,0,0,0,0,0,0,0
21Day,4.44,3.33,0.37,22.2,0,1.11,0,0.37,0.37,0.37,0.37,0,11.1,0,0,5.18,1.11,2.96,0,0.37,24.79,0,3.7,1.11,0,0,0,1.11,1.11,0,0.37,0,1.11,0,0,0.37
3Month,0.83,5.82,0,34.33,0.31,0,0.52,0,0.31,0.83,2.29,0.94,3.85,0.83,0.52,20.08,2.29,5.41,0.21,0,2.6,0.42,0.1,0,0.31,0.21,0,0,0.42,1.14,0,0,0,0.31,0.1,0.42
22Month,0,7.24,0,4.65,0,0,0,0.41,0,0.41,3.96,0.41,9.57,0.41,0,3.83,4.78,1.64,0,0.14,2.6,0,0,0,0.27,0.14,0.14,0,0,1.78,0,0.14,0,0,0,0.14
