stage,Epithelial_cell,Hepatocyte,Keratinocyte,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell
72hpf,0,0,0,0,1.69,0.28
21Day,0,0,0,0.74,1.48,0
3Month,0,0,0,0.1,0.21,0
22Month,0.41,0.14,0.14,0,0.27,0
