stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,0,0,3,13,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.28,0.56,0.85,0,0,0,0.28,0,0,0,0.28,0,0.28,0.85,1.69,0.56,0,0,0,9.58,4.23,0,0,0,0.85,0,0,0.56,0,0,0
21Day,0.37,0,2.96,2.22,0,0,0,0,0,0,0,0.74,0.37,0.37,0.74,0.37,0,0,0,0,1.11,1.48,0,0,0,0.74,0.37,0.37,0,0,0,0.37
3Month,0,0,1.35,0,0.1,0.1,0.83,0.31,0,2.29,0.94,0,0.52,0,0.21,0.31,0.62,0,0.21,0.1,0,0,0,0,0,0,0,2.5,0,0,0.52,0.73
22Month,0,0.27,0.55,0,0,0,0.41,0.82,0.41,13.8,0.14,0,1.5,0,0,0.55,0.27,0.27,0.27,0,0.14,0,0.14,0.14,0.14,0,0,3.69,0.14,0.14,0,0.14
