stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Fibroblast,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_progenitor_cell,Osteoblast,Pancreatic_cell,Spermatocyte,T_cell
24hpf,0,0,2,0,0,0,0,0,0,0,0,2,4,0,0,3,0,0,0,0
72hpf,0,0,0.85,0,0,0,0,0,0,0,0.56,0.28,1.97,0,0,0.28,1.13,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0.37,0,2.22,0,0,0,0.37,0.74,0,0
3Month,0.1,0.42,0.42,0.1,0.1,1.14,0.21,0.1,0.1,0.21,0,6.45,1.35,0,0,0.1,0.1,0,0.1,0.1
22Month,0.14,0.14,0,0,0,0.68,0,0.14,0.14,0,0,0.27,0.27,0.14,0.14,0,0,0,0,0
