stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,4,0,0,0,0,0,0,0,0,0,0,2,3,3,0,0,4,0,0,2,0,0,0,0,0
72hpf,1.41,1.41,0,0.56,0,0,0.85,0,0,0.56,0,0,1.97,1.69,8.17,0.28,1.97,2.54,0.28,0,12.68,0.28,1.97,0,0,0
21Day,0.37,1.48,12.21,0.74,1.11,0,2.22,0,0,11.1,0,0,3.7,5.55,13.69,2.22,2.96,1.85,0,0.74,11.84,1.11,1.11,0,0,5.55
3Month,0,0.42,0.94,0,0,0.21,0.31,1.14,0.1,0.1,0.21,0,0,0.52,0.62,0,0,0,0.42,0.1,0,0.1,0,0.1,0,1.25
22Month,0,0.27,0.14,0,0,0.14,1.23,1.5,0.27,0,0.55,0.14,0.14,0.82,1.09,0.14,0.14,0,0,0,0.27,0,0,0,0.14,0.55
