stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,11,0,0,0,0,3,50,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0.28,0,0,0,0.28,0,0,0,0,0,0,0,0,0,0,0.28,0.28,0,1.69,0,0,0,0,4.51,6.2,0,0,0,1.41,0,0.85,0.28,0,0,0
21Day,1.11,0,0,2.59,0,0.74,0,0.37,0,0.37,0,0,0,0,0.37,0,0,0.74,0.37,5.18,0,0,0.37,0,4.44,3.33,0,0.37,0,1.11,0.74,11.47,0.37,0,0,0
3Month,0.73,1.35,0.1,11.03,0,0,0.52,0.21,0.1,2.08,3.02,0,11.34,3.64,0.21,6.24,0.94,2.6,4.16,2.81,1.04,0.1,0.83,0.83,0.52,0,0.94,0.62,0,0.31,3.54,404.83,0.1,2.29,79.99,3.54
22Month,0,0.27,0,0.96,0,0,0,0,0,0.41,1.23,0.82,11.75,0.27,0.14,1.09,0,0.14,0.96,1.23,0,0,0,0,0.41,0,0.27,0.41,0.27,0.14,0.27,35.67,0,0.14,0,0.55
