stage,Cardiomyocyte,Epithelial_cell,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Mesenchymal_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell
24hpf,0,0,0,0,0,0,0,0,2
72hpf,0.28,0,0,0,0,0,0.28,2.82,0
21Day,0,0,0,0,0,0,0,1.11,0.37
22Month,0,0.14,0.41,1.37,0.14,0.14,0,0,0
