stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,4,0,0,0,0,1,7,0,0,1,0,0,0,0,0,0,0,0
72hpf,1.41,1.13,0,1.41,0.56,0.28,0,0,0,0,0,0,0,0.28,0,0.28,1.97,0,6.48,0,0,0.28,0,1.13,1.41,0,0,7.89,0,0,0.28,0,1.69,0,0,0
21Day,2.22,0.74,0,6.29,0.74,0,0,0,0,0,0,0,0,0,0,0,1.48,0,16.28,0.37,0,3.33,0,1.11,0.74,0,0,5.55,0,0,1.11,0,0.37,0.74,0,0
3Month,0.1,0.94,0.1,1.25,0,0,0.1,0.31,0.31,0,0,1.46,0.21,0,0.52,0,3.54,0.1,5.72,1.14,0,0.42,0.21,0.1,0,0.31,0.1,0.94,0.21,0.94,0.31,0.1,0,0.94,0.21,0.73
22Month,0.14,0.41,0,0.41,0,0,0,0.14,0.55,0.14,0,5.6,0.41,0,0.55,0,0.55,0.27,1.91,0,0.27,0.68,0,0,0,0.27,0,0.14,0,0.14,0.55,0,0,0,0,0
