stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,3,1,4,0,1,0,0,0,0,0,0,0,0,1,0,2,5,0,0,0,0,2,59,2,0,1,0,0,0,0,0,1,0,0,0
72hpf,0,0,0.85,0,0.28,0,0,0,0,0,0,0,0,0,0.85,0.28,0.56,0,0.28,0,0.56,13.81,3.66,0.56,0,0.85,0,0,1.97,1.69,0.28,0.28,0,0,0
21Day,0.37,0,1.48,1.11,0,0,0,0,0,0,0.37,2.96,0,0,0.74,0.74,0.74,0,0,0,0,11.84,3.33,0.74,0,0.37,0,0,0,1.85,1.11,0,0,0,1.11
3Month,0,0.21,3.22,0,0,0.1,0.31,0,0,2.39,0.52,0.31,0.52,0.1,0.1,0.73,0.42,0.1,0.1,0,0,0.83,0.1,0.62,0,0.1,0.1,6.76,0.21,0.1,0,0.31,0.42,43.27,1.14
22Month,0,0.55,1.78,0,0,0.14,0.27,0.27,9.43,7.38,0.27,0.41,0.82,0,0.14,0.96,2.46,0,0.14,0.55,0,0.41,0,0.96,0.14,0,0,2.46,1.09,2.19,0,0.27,0,0.14,0.55
