stage,Hepatocyte,Intestinal_bulb_cell,Macrophage,Neural_cell,Oocyte,Primordial_germ_cell,Spermatocyte
24hpf,0,0,2,0,0,0,0
21Day,0,0,0.37,0,0,0.74,0
3Month,0.21,0,0.31,0.1,0,1.14,0.83
22Month,0.14,0.14,0.14,0,0.27,4.92,0
