stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,14,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0.28,0.28,0.28,0,0,0,0,0,0,1.41,0,1.69,0,0,0.28,16.07,4.79,0.28,1.13,0,2.54,0,0,0,0,0,0,0
21Day,0,0,0.74,0,0.74,0,0,0,0,0,0,0,0.37,0.37,0,0.37,0,11.84,2.96,0,0,0,0.74,0,0.37,0.37,0.74,0,0,0
3Month,0,0.1,0.42,0,0,0,0,0.1,0.1,0.94,0.31,0,0.1,0.73,0.42,0.1,0,0.21,0.31,0,0.21,0,0,0.1,8.63,0,0,0.1,0.31,2.6
22Month,0,0,0,0,0,0.14,0.14,0.14,0,1.23,0,0,0.14,1.91,0,0,0,0.14,0,0.14,0.14,0.27,0,0,6.01,0.14,0,0.14,0,0
