stage,Cardiomyocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythroid_progenitor_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0
72hpf,0,0.28,0.28,0,0,0,0,0,0,0,0,0,3.95,0.28,0,0.56,0,0,0,0,0
21Day,0.37,0,0,0,0,0,0,0,0,0,0.37,0,1.85,0,0,0,0.74,0.37,0,0.37,0
3Month,0,0.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0,0,0.1
22Month,0,0.82,0,0.14,2.73,0.27,0.14,0.27,0.14,0.14,0.68,0.27,0,0.14,1.5,0,0,4.92,0.27,0.14,0
