stage,Cardiomyocyte,Epithelial_cell,Erythrocyte__Liver_,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_progenitor_cell,Intestinal_bulb_cell,Keratinocyte,Macrophage,Mesenchymal_cell,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Pancreatic_cell,Primordial_germ_cell,Retinal_cell,Smooth_muscle_cell,T_cell
24hpf,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7,0,0,0,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0.56,0.28,0,0,0,0,0,0
21Day,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.37
3Month,0,0.31,0,0,0,0,0.52,0,0,0.1,0.21,0.42,0,0.21,0,0,0,0.1,0,0,0.1,0.83
22Month,0,0.14,0.14,0.14,0.55,0.14,2.46,0.27,0.27,0,0.55,0.27,0.14,0,0,0,0.14,0,0.27,0.14,0.14,2.32
