stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,11,4,0,27,0,0,0,0,0,0,0,0,0,3,1,1,29,0,0,8,111,0,0,0,0,0,0,0,0
72hpf,1.97,0.56,0,7.33,0.85,0,0,0,0,0.28,0,0.28,0,2.25,6.76,0.28,12.12,0,0,47.91,8.17,0,16.63,0,0,2.82,0.28,0,0
21Day,2.96,0.37,1.48,2.96,0.37,0,0,1.11,0,0,0,0.37,1.48,0,4.07,0.37,7.77,0,0.74,1.48,0,0.74,12.21,0.37,0,0.37,0.74,0,0.74
3Month,0.21,2.18,10.09,8.11,0,0.21,0.1,9.36,0.62,3.22,0.73,0.52,22.26,0.1,4.68,3.22,12.69,0.62,13.52,0.1,0,1.66,0,0.52,0.94,0,0,0.42,1.56
22Month,0.14,0.96,5.47,3.28,0,0.41,0,3.55,0.68,3.14,0.27,1.09,7.79,0,0.14,1.09,5.47,0,3.28,0,0,1.23,0,0,1.64,0.14,0,0,1.5
