stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Fibroblast,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.85,0,0,0.85,0,0.28,0,0,0,0,0,0,0,0,0,0,1.13,2.25,0,23.68,0,0,0.85,0,3.95,2.54,0,0,0,18.6,0.28,0,6.76,0,0,0,0
21Day,2.96,0,0,3.7,0,0.74,0,0.37,0,0,0.37,0.37,1.11,0,0,0.37,0,4.44,0.37,64.38,0,0,8.88,0,3.7,0.74,0.37,0,0,2.96,1.85,0,0.37,0.74,0,0,0
3Month,1.87,0.31,0.1,12.9,0.31,0,0.42,0.1,0,0.52,2.91,0,59.39,2.91,0.21,1.46,0.21,17.27,0.62,49.41,6.45,0,3.43,0.31,0.21,0.1,0.31,0.21,0,0.21,0.73,1.25,0.52,0,0.42,0.31,1.04
22Month,0.27,0.82,0.41,9.57,0,0,0.41,0.14,0.14,0.68,2.6,0.82,149.77,0.82,0.41,2.32,0.27,5.06,1.5,39.49,0.27,0.68,1.64,0,0.27,0.14,0.27,0.41,0.41,0,0.68,0.41,0.82,0,0.14,0,0.27
