stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cone_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0
72hpf,0.56,0,0,0,26.78,0,0.56,0,0,0,0,0,0,0,0.56,0.28,0,0.56,0,0.28,4.51,0.28,0,0.28,0,0,0,0,0.56,0,0
21Day,1.11,0,0,0.74,77.7,0,13.69,0,0,0,0,0,0,0,0.37,0.37,0,0.74,0,0.37,1.85,0.74,0,0,0.37,0.37,0,0,0.74,0,0
3Month,0,0.21,0.1,0.83,0,1.56,1.04,0.1,0.31,0.1,1.25,0.21,0,12.07,0.83,0.1,0.42,0,0.21,6.55,0.21,0,0.1,0.21,0,0.21,0.31,0.1,0,0.31,0.31
22Month,0.14,0,0,0.55,0,0.55,1.37,0.14,0.41,0.14,2.32,0,0.14,15.85,0.14,0,0.41,0.14,0,0,0.14,0,0.14,0.27,0,0,0,0,0,0,0
