stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythroid_progenitor_cell,Granulocyte,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Spermatocyte,T_cell
24hpf,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,116,8,0,0,0,0,0,0,0,0,0,0,0,0
72hpf,6.48,0.85,0,3.1,1.41,9.02,0.56,0.56,0,0,0.28,0,4.23,14.94,1.97,11.84,0,0.28,0.28,311.72,40.02,0.28,0.85,0,19.17,0.56,0,9.02,0.28,0.28,1.69,0,0
21Day,1.85,0,0,7.03,1.11,6.29,0.74,0,1.11,0.37,2.22,1.11,1.11,4.44,0.74,8.88,0,0,1.11,92.13,3.33,0,0,0,2.59,4.07,0,1.85,0.37,0,0.37,0,1.48
3Month,0,0,0.1,1.46,0,0,0,0.31,1.56,1.25,0.1,0.21,0,0.42,0.21,0.73,0.52,0,0.1,12.59,0,0,0,0,0,0.1,0.94,0.1,0,0,0,0.21,0.42
22Month,0,0.27,0,0.27,0,0,0,0.82,2.32,0.14,0,0.55,0,0.14,0.14,0.55,0,0.14,0.14,5.6,0,0.14,0,0.27,0,0,0.14,0.27,0,0,0,0,0.14
