stage,Epithelial_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Primordial_germ_cell,T_cell
24hpf,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
72hpf,0,0,0,0,0,0,0,0,0,0,0,0.28,0,0,0,0
21Day,1.48,0,0,0,0,0,0,0,0.37,3.33,0,0,0,0,0,0
3Month,0.62,0,0,0,0.1,0.1,0.1,0.1,0.21,0.42,0.1,0,0,0,0.1,0
22Month,0.41,0.14,0.27,0.14,2.87,0,0.68,0,0.14,0.41,0.27,0,0,0.14,0.14,0.14
