stage,Cardiomyocyte,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Hatching_gland,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Oocyte,Osteoblast,Pancreatic_cell,Primordial_germ_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,15,0,0,0,0,30,0,0,0,2,13,1,1,0,1,2,0,0,0,0,0,0,0,0
72hpf,0.28,0,4.51,0.85,0,0,0,0,0,0,0,1.97,12.68,0,0.28,0,1.69,2.54,0,1.13,0.56,0,0,0,0,0
21Day,0.74,0,32.19,1.11,1.11,0,0.37,0,0.74,0.37,0,0,21.83,1.48,1.48,0,0,0.37,0,0.74,0.74,0.37,0.37,0,0,1.11
3Month,0,0.1,2.6,0.1,0,0.1,0,0,0.52,0.1,0,0,0.42,0,0.1,0,0,0.1,0,0,0.1,0.31,0,0.1,0.21,0
22Month,0.14,0,1.91,0,0,0.27,0,0,1.91,0,0.55,0,0.27,0.14,0.14,0.14,0,0,0.14,0,0.27,0.41,0,0,0,0
