stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Goblet_cell,Granulocyte,Granulosa_cell,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,11,0,0,13,1,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,0,32,0,0,0,0,0,0,0,0
72hpf,0,0,0,5.64,1.69,0.28,0,0,0,0,0,0,0.56,5.36,0.28,0.85,0,0,0.28,0,2.25,1.69,0,0.28,2.54,0,0.28,0,0,0
21Day,0,0,0,2.59,0.37,0.37,0,0,0,0,0,0,0,5.55,0,1.48,0,0,0,0,1.48,0.37,0,0.37,0.37,0,0.37,0,0,0
3Month,0,0.83,0.94,5.41,0.21,0,0.42,0.31,0,1.25,0.62,2.5,0.31,15.29,0.31,0.94,0.31,0.1,0.1,0.1,0.21,0,0.1,0.1,0.31,1.04,0.21,0.1,0.83,0
22Month,0,0.82,0,2.19,0.27,0,0.14,0.27,0.14,2.73,0.14,2.6,0,1.23,0.27,0.27,0.14,0,0.14,0,0,0,0,0,0.14,1.37,0.96,0,0,0.14
