stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Erythrocyte,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Osteoblast,Primordial_germ_cell,Radial_glia,Retinal_cell,Retinal_cone_cell,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,0,2,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0
72hpf,1.41,0.28,0,23.96,1.41,0.28,0,0,0,0.56,0,0,0,0,0.28,2.82,0,5.92,0,0,0,0.28,99.77,9.3,0.56,2.82,0,2.82,20.86,20.29,1.13,0,0,0
21Day,0.37,0,0,1.48,1.48,0.37,0,0,0,0,0,0,0.37,0,0,0,0,1.48,0,0,0.37,0,21.83,1.85,0,1.11,0,1.48,6.66,25.16,0.37,0,0,0
3Month,0,0,0.1,12.9,0,0,0.21,0.31,0,0,0.94,0.42,0,0.21,0,0.31,0.1,0,0.1,0,0,0.1,0.73,0.31,0.31,0,0.42,0,0.31,0.21,0.31,0.1,0.42,0.1
22Month,0,0,0,2.46,0,0,0,0.14,0.14,0,2.73,0,0,0,0,0.14,0,0,0,0.14,0,0,0.55,0,0.27,0,1.37,0,1.23,0,0,0,0,0
