stage,Cardiomyocyte,Endothelial_cell,Enterocyte,Epithelial_cell,Epithelial_cell__Brain_,Erythrocyte,Erythrocyte__Liver_,Erythroid_progenitor_cell,Goblet_cell,Granulocyte,Granulosa_cell,Hatching_gland,Hepatocyte,Immune_cell,Immune_progenitor_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Mt_rich_cell,Muscle_cell,Nephron_cell,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Pancreatic_cell,Pancreatic_macrophage,Primordial_germ_cell,Radial_glia,Retinal_pigment_epithelial_cell,Smooth_muscle_cell,Spermatocyte,T_cell
24hpf,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,0,0,1,2,1,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0
72hpf,0.28,0.56,0,0,0,0.28,0,0,0,0.28,0,0,0,0,0,0,0.28,1.69,0.28,0.85,0,0,0,0,7.89,1.97,0.28,0,0.85,0,0,0,0.28,0.28,0,0,0
21Day,0.74,0,0,3.33,0,0.74,0,0,0.37,0.74,0,0,0,0,0,0.74,0.74,1.48,0.37,1.85,0,0,0,0,3.33,0.37,0,0.37,0,0.37,0,0.37,1.11,0,0,0,0
3Month,0,0.31,0,3.74,0.21,0,0,0.31,1.77,1.66,0,0,4.16,0.62,0.31,2.08,0.31,1.25,1.46,1.46,0.21,0,1.46,0.31,0.31,0,0.31,0.1,0.21,0.1,0.1,2.81,0,0,0.42,0.73,0.94
22Month,0,0,0.55,1.09,0,0,0.14,0,0.55,1.5,0.14,0,4.78,0.27,0.27,2.87,0,0.14,1.64,0.27,0,0.41,0.27,0,0.14,0,0.41,0.14,0,0,0,1.37,0.55,0,0,0,0.68
