stage,Epithelial_cell,Hepatocyte,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Mesenchymal_cell,Muscle_cell,Neural_cell,Neural_progenitor_cell,Pancreatic_cell,Spermatocyte,T_cell
24hpf,0,0,0,0,1,0,0,0,1,0,0,0
72hpf,0.28,0,0,0,3.38,0,0,0.28,0,0,0,0
21Day,4.81,0,0,0.37,3.7,0,0.37,0,0,0.37,0,0
3Month,0.73,0.21,0.21,0,0.21,0.1,0,0,0,0,0.1,0.1
22Month,0.14,0.27,0,0,0,0,0,0,0,0,0,0
