stage,Cardiomyocyte,Endothelial_cell,Epithelial_cell,Erythrocyte,Granulocyte,Hepatocyte,Immune_cell,Intestinal_bulb_cell,Ionocyte,Keratinocyte,Macrophage,Mesenchymal_cell,Mesenchymal_cell__caudal_fin_,Neural_cell,Neural_progenitor_cell,Neurosecretory_cell,Oligodendrocyte,Osteoblast,Primordial_germ_cell,Radial_glia,T_cell
24hpf,0,1,1,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0
72hpf,0,0,1.97,0.28,0,0,0,0,0,1.13,0,1.13,0,15.22,3.95,0,0,1.13,0,0,0
21Day,0.37,0,1.48,0,0,0,0,0,0,0.37,0,1.48,0,3.33,0.37,0,0.74,0,0,0.37,0
3Month,0,0,0.42,0,0.1,0.21,0.1,0.1,0,0.21,0,0.31,0.1,0,0,0.1,0,0,0.31,0,0.1
22Month,0,0,0,0,0.27,4.37,0.27,0.14,0.14,0,0.14,0,0,0,0,0,0,0,0.14,0,0
